UNIX_timestamp,prices,market_caps,total_volumes
1.5304E+12,1.000754987,2709184202,1521506.801
1.53049E+12,0.998825215,2703960039,478369.2205
1.53058E+12,1.000001061,2707143219,1107073.388
1.53066E+12,1.000531399,2708578918,859616.0796
1.53075E+12,1.004661154,2719758743,1084154.351
1.53084E+12,1.003285891,2716035715,611468.1643
1.53092E+12,1.008979636,2630551517,999320.859
1.53101E+12,1.012253467,2639086853,645476.9899
1.53109E+12,1.00403348,2617656194,355686.5239
1.53118E+12,1.005683511,2621958056,727640.1312
1.53127E+12,1.008804107,2630093889,942674.7178
1.53135E+12,1.09066244,2843510051,1061248.125
1.53144E+12,1.010523219,2735628176,1319818.696
1.53153E+12,1.062143356,2875371132,1265176.377
1.53161E+12,1.135080118,3072821184,2129116.518
1.5317E+12,1.134961878,3072501090,1696894.766
1.53179E+12,1.182957882,3202433010,4463640.891
1.53187E+12,1.139813558,3085635270,2677167.48
1.53196E+12,1.069063518,2894104982,4619439.18
1.53204E+12,1.128858813,3055979238,2081505.291
1.53213E+12,1.092949276,2904119617,1666775.462
1.53222E+12,1.220170865,3242165235,769647.9792
1.5323E+12,1.257362084,3340987522,3075073.751
1.53239E+12,1.323095306,3449495153,2636452.981
1.53248E+12,0.996641882,2498721072,1889737.85
1.53256E+12,0.99631169,2497893235,1619302.331
1.53265E+12,0.998730686,2503957997,1526530.454
1.53274E+12,0.999003323,2504641537,1691461.236
1.53282E+12,0.998993562,2504617064,316289.2164
1.53291E+12,0.996998075,2499614098,3165230.405
1.533E+12,0.997153595,2500004009,951179.1447
1.53308E+12,0.996511572,2453551347,1615377.074
1.53317E+12,1.000044453,2397246906,913516.891
1.53325E+12,0.997896666,2412056294,828668.2608
1.53334E+12,0.999070269,2434874462,1766019.605
1.53343E+12,0.996133511,2427717170,629228.9191
1.53351E+12,0.950716486,2317029506,30574447.64
1.5336E+12,1.078959815,2629576497,121108672.7
1.53369E+12,0.981323456,2391622986,81164838.13
1.53377E+12,1.112210874,2677247669,140679136.5
1.53386E+12,0.997927803,2433038152,2574369.383
1.53395E+12,0.982747289,2396026687,5585816.609
1.53403E+12,0.98751821,2407658622,2090185.701
1.53412E+12,0.974256935,2375326436,2590987.688
1.5342E+12,0.989020595,2411321575,5478123.34
1.53429E+12,1.003786987,2447323372,98531640.67
1.53438E+12,1.000075938,2434993162,109675394.9
1.53446E+12,0.986832644,2405947943,104232705.6
1.53455E+12,0.998589086,2433497752,69267509.06
1.53464E+12,1.000051958,2439015130,92002426
1.53472E+12,1.000360497,2438871839,67654795.71
1.53481E+12,1.001785061,2725078677,63726024.19
1.5349E+12,1.002284512,2728553309,61453618.36
1.53498E+12,0.999942897,2716639197,94456844.91
1.53507E+12,1.003234452,2731483651,39667161.36
1.53516E+12,1.00205867,2727971119,45923369.04
1.53524E+12,1.00095279,2722535740,31057541.51
1.53533E+12,0.998189958,2723771032,32137787.48
1.53541E+12,1.004977091,2732665666,69855020.17
1.5355E+12,1.004418137,2715010129,106117405.9
1.53559E+12,1.003258737,2728039077,120273727.8
1.53567E+12,0.999784322,2721520395,114431190.9
1.53576E+12,1.001097888,2816280698,99498842.63
1.53585E+12,1.000825436,2815472563,112457670.3
1.53593E+12,1.000149513,2813189896,128944425.9
1.53602E+12,0.997555938,2809398139,83707328.69
1.53611E+12,0.998959523,2810162814,92325772.09
1.53619E+12,0.992729876,2794774719,159199540.9
1.53628E+12,0.999719563,2811537527,171456015
1.53636E+12,0.99981836,2812652631,131660254.8
1.53645E+12,0.999460306,2811569544,109505173.3
1.53654E+12,1.001922677,2821504022,139319186.6
1.53662E+12,0.998751251,2811552369,145188131.9
1.53671E+12,0.999673178,2812137479,149542385.4
1.5368E+12,0.99940168,2811471887,144294630.3
1.53688E+12,0.99934767,2787130230,147259662.5
1.53697E+12,0.999970909,2786121047,153457980.9
1.53706E+12,1.000407618,2789163924,112082132.9
1.53714E+12,1.00133835,2791102224,111924747
1.53723E+12,1.000104078,2784048695,140550021.1
1.53732E+12,0.999280133,2785192872,140334543.1
1.5374E+12,1.000563825,2788943336,113785163.7
1.53749E+12,1.001529271,2791634391,118225584
1.53757E+12,1.000202363,2787935807,211815031.3
1.53766E+12,1.00415339,2798948786,130336623.5
1.53775E+12,0.999186051,2785206697,113281738.9
1.53783E+12,1.000541876,2788848807,135417232.4
1.53792E+12,0.99918562,2784475867,165929123
1.53801E+12,1.000359197,2788802968,135936950.5
1.53809E+12,1.001127281,2793938157,151695982.4
1.53818E+12,0.99963679,2786516142,146279560.2
1.53827E+12,1.000259288,2786984880,151431879.3
1.53835E+12,0.999919351,2787146948,139339764.1
1.53844E+12,0.999014142,2784012202,147267340.5
1.53852E+12,0.997753518,2780675054,108791430.6
1.53861E+12,0.999413926,2783984271,117307796.7
1.5387E+12,1.000007956,2787393921,109163118.5
1.53878E+12,0.998736044,2783163158,82904990.56
1.53887E+12,1.000266189,2788311599,84072638.45
1.53896E+12,0.999782373,2786255879,65173094.83
